# Quasar data set provided bei Risaliti & Lusso, Nature Astronomy, 2018. See also companion publication
# xz       xlo        xlx        xfo        xfx         xefx      namex               
  1.0955   30.56301   26.61638   -27.2567   -31.20332   0.018     115405.61+225413.9  
  1.0976   30.40161   26.82823   -27.4202   -30.99359   0.01806   091512.52+084405.8  
  1.1045   30.68872   26.27729   -27.1398   -31.55123   0.02941   154847.65+351033.8  
  1.1075   30.61126   27.13259   -27.2202   -30.69887   0.014     024200.91+000021.0  
  1.1123   30.35568   26.3272    -27.4804   -31.50888   0.02269   095755.08+024806.3  
  1.1124   30.61128   26.60572   -27.2249   -31.23046   0.03054   004247.15+010019.3  
  1.1132   30.81918   26.83492   -27.0178   -31.00206   0.00701   105239.59+572431.3  
  1.1146   30.71556   26.96456   -27.1227   -30.8737    0.02018   104657.27+135058.2  
  1.1148   30.27617   26.5502    -27.5623   -31.28827   0.03314   221708.83+002717.1  
  1.1165   30.4984    26.12366   -27.3417   -31.71645   0.06437   220215.56+114341.2  
  1.1209   30.58183   26.42583   -27.2625   -31.4185    0.03135   133909.71+280526.4  
  1.1211   30.47704   26.6112    -27.3675   -31.23334   0.02198   141838.35+522359.3  
  1.1219   30.61361   26.57028   -27.2317   -31.27502   0.02173   170937.63+640615.0  
  1.1238   30.18484   26.63001   -27.6623   -31.21713   0.02544   033810.17+002325.1  
  1.1248   30.51531   26.55148   -27.3328   -31.29663   0.02611   143424.93+033911.4  
  1.1291   30.6593    27.04848   -27.1929   -30.80372   0.02147   164116.67+463946.2  
  1.1338   30.59709   26.3994    -27.2596   -31.45728   0.06097   142917.68+012058.8  
  1.1347   30.37122   26.73679   -27.4863   -31.12073   0.03212   074227.82+290000.4  
  1.1359   30.52353   26.8012    -27.3351   -31.05743   0.01695   113616.79+154807.4  
  1.1367   30.53453   26.49018   -27.3249   -31.36925   0.03973   233736.43+000950.8  
  1.1421   29.96516   26.06797   -27.8993   -31.79648   0.02188   122549.87+332454.9  
  1.145    30.40517   26.37379   -27.4621   -31.49348   0.03173   172026.47+263816.0  
  1.1451   30.60178   26.51933   -27.2655   -31.34795   0.0126    133417.53+375722.3  
